id,name,This is the current 'specialisation_id' linked to this practice,This is the current specialisation 'name' linked to this 'specialisation_id',What specialisation_id should this practice be linked to?,What is the respective specailisation name/type of the 'specialisation_id' linked to this practice?,What is the respective Practice Type?,specialisation_id,name,specialisation_name
5879,YP Health Inc (Khayelitsha Rooms),2,Other,420,General,General Practice,153,03 National Service: National Health worker counsellor,03 Health Worker Mental Health Support
5080,Livingstone Internal Medicine MOPD - FOR OPD BOOKINGS ONLY,21,Internal Medicine,21,Internal Medicine,Specialist Department,154,Neonatologist,Neonatology
5882,Nkanunu Clinic,2,Other,420,General,Clinic,155,Covid-19 HIV Hotline Database,First Care Courier HIV Database
5888,Nomonde Clinic,2,Other,420,General,Clinic,156,Gastroenterology Specialist,Gastroenterology
5891,Mountain View Oncology N1,2,Other,19,Oncology,Specialist Department,157,Paediatric Rheumatologist,Paediatric Rheumatology
5894,Hawu Medical Practice,2,Other,420,General,General practice,158,02 Covid-19 referrals/admissions,02 Covid-19 referrals/admissions
5910,Dr Kortje Inc,2,Other,420,General,General practice,159,ZZ Covid-19 Testing,ZZ Covid-19 Testing
5912,Dr K & S Pillay,2,Other,420,General,General practice,160,ZZ Silalele Helpline counsellor,ZZ Silalele Schools Helpline
4907,Dr Denise Labuschagne-Kruger,2,Other,420,General,General practice,161,Rapid Access Clinician,Rapid Access Clinic
5835,Dr Melvyn Elroy Petersen,2,Other,420,General,General practice,162,SU Physio Supervisor,SU Students - Physiotherapy
5076,"Wisani Medical Centre,",2,Other,420,General,Medical Centre,163,SU Ideal rotation,"SU Students - Ideal rotation (Historical, not in use)"
7193,Dr’s Roux & Partners,2,Other,420,General,General practice,164,RO101 Evalutor,RO101 service evaluation
5077,Gelvan's Pharmacy,2,Other,420,General,Pharmacy,165,SU Supervisor - Nursing,SU Students - Nursing
5851,Ncambele Clinic,2,Other,420,General,Clinic,166,Geneticist,Human Genetics
5826,Matyantya Clinic,2,Other,420,General,Clinic,167,Vula Support,Vula testing & support
5830,Dr Anique Tredoux,2,Other,420,General,General practice,168,ICPA Admin,01 COVID Testing for Health Workers
5868,Dr Sello Sophonia Mashamaite,2,Other,420,General,General practice,169,Infectious disease specialist,Infectious disease
7194,St Francis Bay Clinic,2,Other,420,General,Clinic,170,Endocrine Surgeon,Endocrine Surgery
5873,Misgund Clinic,2,Other,420,General,Clinic,171,Surgical gastroenterologist,Surgical Gastroenterology
5883,Ncizele Clinic,2,Other,420,General,Clinic,172,Orthopaedic Outpatient,Orthopaedic Outpatient
7197,Dr Clement Plaatjies,2,Other,420,General,General practice,173,Surgical Outpatient,Surgical Outpatient
5892,Dr Takurjith Singh,2,Other,420,General,General practice,174,WC TB specialist,WC - TB
3915,Greytown Drug Store,2,Other,420,General,Pharmacy,175,Family medicine clinician,Family medicine - Down referral
3509,IDEAL student rotation facilitators,163,"SU Students - Ideal rotation (Historical, not in use)",16,Family Medicine,University,176,General surgeon and burns specialist,General Surgery and Burns
5913,Dean Naidoo Opticians,2,Other,17,Optometry,Specialist Department,177,COVID-19 specialist,COVID-19 admissions
5915,OptiLife Medical Health and Wellness,2,Other,420,General,General practice,178,Ophthalmologist at GSH,Ophthalmology (GSH)
5916,Dr Dominic Bass,2,Other,420,General,General practice,179,Gynaecologist,Gynaecology
5918,Spijkerman & Van Wyk Optometrists,2,Other,17,Optometry,Specialist Department,180,Paediatric ICU,Paediatric ICU
5919,New Somerset Anesthesia,128,Anaesthesiology,128,Anaesthesiology,Specialist Department,181,Paediatric and neonatal specialist,Paediatric and Neonatal
5920,Muizenberg Clinic,2,Other,420,General,Clinic,182,Family Medicine,FM PHC Rotation
5921,The Local Choice Pharmacy Melrow,2,Other,420,General,Pharmacy,183,Emergency Trauma Physician,Emergency Trauma
5922,Dr Michael Raymond Skriker,2,Other,420,General,General practice,184,Nasrec COVID 19 intermediate care,Nasrec COVID 19 intermediate care
5923,Dr Wayne Alfred Kretschmer,2,Other,420,General,General practice,185,Nasrec COVID 19 Quarantine and Isolation,Nasrec COVID 19 Quarantine and Isolation
5925,Dr Joh Meiring,2,Other,420,General,General practice,186,Internal Medicine,GSH Internal Medicine
5926,Southport Municipal Clinic,2,Other,420,General,Clinic,187,Tredeaux Test,Tredeaux Test
5927,Dr Frederick Potgieter,2,Other,420,General,General practice,188,Pulmonologist,Pulmonology
5928,Weskus FamMed (Dr Bester & Partners),2,Other,420,General,General practice,189,Trauma surgery,Trauma surgery
5929,St Francis Bay Family Medical Practice,2,Other,420,General,General practice,190,Vascular Surgeon,Vascular surgery
5931,Medirite Pharmacy- Palm Springs,2,Other,420,General,Pharmacy,191,KZN Covid-19 referral and admission,KZN Covid-19 referral and admission
5932,Dept of Correctional Services (St Albans),2,Other,420,General,Correctional Centre,224,PHC referrals in the Eastern Cape,PHC referrals in the Eastern Cape
5933,Dr Riaan Swart,2,Other,420,General,General practice,225,Pulmonology TBH,Pulmonology TBH
5934,The Village Optometrist,2,Other,17,Optometry,Specialist Department,226,NMFC Rotation,NMFC Rotation
5935,Khayelitsha Eastern Substructure Office,2,Other,420,General,Non-medical practice,227,Nephrology GSH,Nephrology GSH
5936,Marburg Clinic,2,Other,420,General,Clinic,228,GSH Gastroenterology,GSH Gastroenterology
5937,Paarl Orthopaedics,2,Other,7,Orthopaedics,Specialist Department,229,Family Medicine and Palliative Care,Family Medicine and Palliative Care
5939,Spec-Savers - Butterworth,2,Other,17,Optometry,Specialist Department,230,Lipidologist,Lipidology
5941,Livingstone Hospital - Dental Clinic,2,Other,259,Oral Medicine,Specialist Department,231,Gynaecology Oncology,Gynaecology Oncology
5943,Tygerberg Paediatrics Emergency - Pilot phase (8am-4pm ONLY),274,Paediatric Emergencies,274,Paediatric Emergency Medicine,Specialist Department,232,TBH Endocrine Surgery,TBH Endocrine Surgery
5944,Dr HF Conradie,2,Other,420,General,General practice,233,Connect TB Study,Connect TB Study
5945,Dr G B Roman,2,Other,420,General,General practice,234,Gauteng Paediatric Surgery,Gauteng Paediatric Surgery
5950,Groote Schuur Pulmonology (E16),316,Groote Schuur Pulmonology,188,Pulmonology,Specialist Department,235,Eastern Cape O & G,Eastern Cape O & G
3284,Clicks Pharmacy - Ceres,2,Other,420,General,Pharmacy,236,Western Cape Breast Clinic Referral,Western Cape Breast Clinic Referral
6888,Dr S I Volkwyn,2,Other,420,General,General practice,237,Geriatrics,Geriatrics
4908,Gateway Optical Centre,2,Other,17,Optometry,Specialist Department,238,Paediatric Gastroenterology/Hepatology,Paediatric Gastroenterology/Hepatology
5836,Clicks Pharmacy - East London,2,Other,420,General,Pharmacy,239,Happiness Project Referral,Happiness Project
5078,Neovision Claremont,2,Other,17,Optometry,Specialist Department,240,Internal Medicine Specialist,Groote Schuur Internal Medicine
5827,Mangosuthu University of Technology Clinic,2,Other,420,General,Clinic,241,Paediatric Specialist,GSH ACE
5852,Ncora Clinic,2,Other,420,General,Clinic,242,Quro Medical,Quro Medical
5831,Stanger General Surgery,2,Other,22,General Surgery,Specialist Department,243,Specialist,Groote Schuur Covid-19 (Historical not in use)
5917,Tygerberg CL Psychiatry Internal Consults (Weekdays 8am - 4pm ONLY),273,Referral Form,37,Psychiatry,Specialist Department,244,Ophthalmologists,Eerste River Ophthalmology
5869,Dr Samuel Johannes Scheepers,2,Other,420,General,General practice,245,QI,SWITCH QI Project
5874,Dr Ogolong Biketi,2,Other,420,General,General practice,246,Virologist,Virology
5884,Vergelegen Family Practice,2,Other,420,General,General practice,247,Medical Manager,MMS Consent form
5897,Dr Hemantkumar Vallabh,2,Other,420,General,General practice,248,Paediatric Anaesthesiologist,"Paediatric Anaesthesia, Pain management and preoperative consultations"
5914,Medlazi Pharmacy,2,Other,420,General,Pharmacy,249,Family Medicine Specialist,Mahatma Gandhi Family Medicine
5924,Elsie Ballot Hospital,2,Other,420,General,Hospital,250,Covid Specialist,Groote Schuur Covid-19
5930,Dr Ayanda Memela,2,Other,420,General,General practice,251,#StaffCare Self Referral,#StaffCare Self Referral
5940,Port Shepstone Clinic,2,Other,420,General,Clinic,252,StaffCare Self Referral,StaffCare Self Referral
5946,Manenberg Clinic,2,Other,420,General,Clinic,253,Rheumatology specialist,Rheumatology
5951,Paedspal,2,Other,41,Palliative Care,Specialist Department,254,Tshwane (Diabetic) Eye Project,Tshwane (Diabetic) Eye Project
6010,Dr Rafieka Parker,2,Other,420,General,General practice,255,Tshwane Diabetic Eye  Project,Tshwane Diabetic Eye  Project
5843,Port Shepstone Emergency Medicine ( After 9PM Phone +27 (39) 688-6000),32,Emergency medicine,32,Emergency Medicine,Specialist Department,256,Nuclear Medicine Specialist,Nuclear Medicine
6014,Dr Debbie Bekker,2,Other,420,General,General practice,257,Community Psychiatrist,Community Psychiatry
6015,Boitumelo Obstetrics and Gynaecology,2,Other,27,Obstetrics / Gynaecology,Specialist Department,258,St Joseph’s Home – Paediatric Intermediate Care,St Joseph’s Home – Paediatric Intermediate Care
6016,Heideveld Community Health Clinic,2,Other,420,General,CHC,259,Oral Medicine Specialist,Oral Medicine
6017,Neovision - Picbel Parkade Strand,2,Other,17,Optometry,Specialist Department,260,Ophthalmology Referral,Ophthalmology Referral
6018,Dr Ashen Krisen Singh,2,Other,420,General,General practice,261,Groote Schuur Neurosurgery,Groote Schuur Neurosurgery
6021,Intercare Century City,2,Other,420,General,Medical Centre,262,Neurodevelopment Clinic,Neurodevelopment
6022,Spec-Savers Seapoint,2,Other,17,Optometry,Specialist Department,263,Nephrology and Hypertension,Nephrology and Hypertension Referral
6023,Dr Sibylle Moehl,2,Other,420,General,Specialist Department,264,Activity team,Department Onboarding request
6026,Dr LB Linde,2,Other,420,General,General practice,265,Retina SA,Retina SA
6027,Dr David Andrew McKechnie,2,Other,420,General,General practice,266,Breast and Endocrine Unit,Breast and Endocrine Referral
6028,Groote Schuur Radiation Oncology,2,Other,19,Oncology,Specialist Department,267,QNRH Paediatrics,QNRH Paediatrics
6029,Dr Rodney Butters,2,Other,420,General,General practice,268,QNRH Neonatology,QNRH Neonatology
6030,King Dinuzulu Accident and Emergency,2,Other,32,Emergency Medicine,Specialist Department,269,Fetal abnormalities & Complicated twin,Fetal abnormalities & Complicated twin
6034,George Sub-District Oral Health,2,Other,259,Oral Medicine,Specialist Department,270,Clairwood Covid-19 unit referral for admission,Clairwood Covid-19 unit referral for admission
6036,Dr Michael Williams,2,Other,420,General,General practice,271,SU Students - Ideal rotation,SU Students - Ideal rotation
6039,Clicks Lichtenburg Sanlam Centre,2,Other,420,General,Pharmacy,272,High Risk Clinic,High Risk Clinic
6040,The Ear and Eye Clinic Meyersdal,2,Other,1,Ophthalmology,Specialist Department,273,specialists,Referral Form
6042,Port Elizabeth Cardiothoracic,2,Other,4,Cardiology,Specialist Department,274,Paediatric Emergency Physician,Paediatric Emergencies
6046,Dr Grant Ravenhill Lewis,2,Other,420,General,General practice,275,Occupational Hand Therapist,Occupational Therapy Hands
6033,Groote Schuur Occupational Therapy (Mon - Fri 08:00 - 16:00),325,Groote Schuur Occupational Therapy,124,Occupational Therapy,Specialist Department,276,Occupational Therapist Neuro,Occupational Therapy Neuro
4622,Red Cross Audiology,318,Paediatric Audiology,318,Paediatric Audiology,Specialist Department,277,Occupational Therapy Paediatrics,Occupational Therapy Paediatrics
7198,Dr Abdul Karriem Cariem,2,Other,420,General,General practice,278,Occupational Therapy Psychiatry,Occupational Therapy Psychiatry
4909,Medicross Hillcrest,2,Other,420,General,Hospital,279,Maxillofacial and Oral Surgery Livingstone,Maxillofacial and Oral Surgery Referral Form
5837,Bergh C C - Glengarry,2,Other,420,General,General Practice,280,Maxillofacial and Oral Surgery,Maxillofacial and Oral Surgery
5853,Ndela Clinic,2,Other,420,General,Clinic,313,Groote Schuur Breast Clinic,Groote Schuur Breast Clinic
5079,Happiness Project - Team 1,239,Happiness Project,37,Psychiatry,Specialist Department,314,Surgical Endocrine and Sarcoma Clinic,Surgical Endocrine and Sarcoma Clinic
82,Khayelitsha District Hospital,2,Other,420,General,Hospital,315,Burns Service specialist,Burns services (Pietermaritzburg)
5875,Nthekang Optometrists,2,Other,17,Optometry,Specialist Department,316,Groote Schuur Pulmonology,Groote Schuur Pulmonology
6890,Dr N Conrad,2,Other,420,General,General practice,317,Khayelitsha Eye Laser Centre,Khayelitsha Eye Laser Centre
5885,Ndonga Clinic,2,Other,420,General,Clinic,318,Paediatric Audiologist,Paediatric Audiology
5898,Winelands Surgery,2,Other,22,General Surgery,Specialist Department,319,Groote Schuur Physiotherapy,Groote Schuur Physiotherapy
5947,Ncaneni and Hoyi Health Clinic,2,Other,420,General,Clinic,320,Groote Schuur Social Work,Groote Schuur Social Work
6887,Engela Cataract Logbook 2023,364,Ophthalmology Namibia,1,Ophthalmology,Specialist Department,321,MPCHC Appointments,MPCHC Appointments
6892,Dr Mlunguseleli Lawrence Mgilane,2,Other,420,General ,General practice,322,Kamba Ya Shanga Asthma Consultation,Kamba Ya Shanga Asthma Consultation
5952,Tambo Memorial Occupational Therapy PAEDIATRICS,277,Occupational Therapy Paediatrics,124,Occupational Therapy,Specialist Department,323,COVID,04 COVID BRACKENGATE/ MPH referrals/admissions
5957,Dr's Aleker & Rahim,2,Other,420,General,General practice,324,Paediatric Ophthalmologist,Paediatric Ophthalmology
6891,Port Elizabeth Neurology,33,Neurology,33,Neurology,Specialist Department,325,Groote Schuur Occupational Therapy,Groote Schuur Occupational Therapy
5958,Dr IA Safeda,2,Other,420,General,General practice,326,Groote Schuur Speech Therapy,Groote Schuur Speech Therapy
5959,Botlokwa Hospital,2,Other,420,General,Hospital,359,EVEXIA Psychiatry,EVEXIA Psychiatry
5960,Richards C A,2,Other,420,General,General Practice,360,Livingstone Internal Medicine,Livingstone Internal Medicine
6889,Dr Pixley Ka-Isaka Seme Orthopaedics,7,Orthopaedics,7,Orthopaedics,Specialist Department,361,Arthritis,Arthritis
5961,Thanduxolo Clinic,2,Other,420,General,Clinic,362,King Edward Hospital Arthritis Clinic,King Edward Hospital Arthritis Clinic
6035,Dr Pixley Ka-Isaka Seme Memorial Hospital,2,Other,420,General,Hospital,363,Psychiatry Referral Form - EDH,Psychiatry Referral Form - EDH
5962,N U 2 Clinic - Motherwell,2,Other,420,General,Clinic,364,Ophthalmologist Namibia,Ophthalmology Namibia
5964,Dr Sikholiwe Thokozani Shangase,2,Other,420,General,General practice,365,Maxillofacial & Oral Surgeon,Maxillofacial an Oral Surgery Frere
5965,Dr Danette Barnard Inc,2,Other,420,General,General practice,366,Groote Schuur Emergency Psychiatry,Groote Schuur Emergency Psychiatry
5967,Specialist Eye Centre,2,Other,17,Optometry,Specialist Department,367,Groote Schuur Psychiatry OPD,Groote Schuur Psychiatry OPD
5968,Paarl Family Health,2,Other,420,General,Medical Centre,368,Groote Schuur Occupational Therapy,GSH Occupational Therapy
5969,Durbanville Doctor,2,Other,420,General,General Practice,369,MPH Orthopaedics Form,MPH Orthopaedics Form
5971,Dr Deon De Wet,2,Other,420,General,General Practice,370,Khayelitsha Physiotherapy,Khayelitsha Physiotherapy
5972,University of the Free State Haematopathology,2,Other,84,Haematology,Specialist Department,371,Khayelitsha Occupational Therapy,Khayelitsha Occupational Therapy
5973,Drs Joubert And Rautenbach,2,Other,420,General,General Practice,372,New Somerset Orthopaedics,New Somerset Orthopaedics
5974,Gainsford & Partners,2,Other,420,General,General Practice,373,Medical Genetics,Medical Genetics
6041,Barry Baumgart Physiotherapy,2,Other,123,Physiotherapy,Specialist Department,374,Paediatric Surgery - PMB,Paediatric Surgery - PMB
6013,Dr Bantu Noqekwa,2,Other,420,General,General Practice,375,RK Khans Obs & Gynae,RK Khans Obs & Gynae
6024,Dr Mareli Carla Walker,2,Other,420,General,General Practice,376,Frere Neurosurgery,Frere Neurosurgery
6031,Observatory Forensic Pathology Institute,2,Other,85,Pathology,Specialist Department,377,Livingstone Infectious Diseases,Livingstone Infectious Diseases
5956,Khayelitsha Eye Laser Centre (Weekdays from 07:00 - 16:00 ONLY),317,Khayelitsha Eye Laser Centre,1,Ophthamology,Specialist Department,378,King Edwards Pulmonary Function Request,King Edwards Pulmonary Function Request
6037,Legacy Emergency Medical Services,2,Other,32,Emergency Medicine,Specialist Department,379,Caledon Physiotherapy,Caledon Physiotherapy
6043,Western Cape Education Department,2,Other,420,General,Non-medical practice,380,Groote Schuur Cardiology,Groote Schuur Cardiology
6047,St Faith's Clinic,2,Other,420,General,Clinic,381,TBH Medical Gastroenterology,TBH Medical Gastroenterology
6012,Groote Schuur Dietetics (Mon-Fri 07:00-15:00),121,Dietetics,121,Dietetics,Specialist Department,382,Paediatric Allergy,Paediatric Allergy
5975,Red Cross Paediatric Pulmonology (Do Not Use),2,Other,28,Paediatrics,Specialist Department,415,King Edward Electrocardiogram Stress Test,King Edward Electrocardiogram Stress Test
6019,Herbst & Partners,2,Other,420,General,General Practice,416,Radiology,Radiology
5854,Mt Ayliff Gateway Clinic,2,Other,420,General,Clinic,417,COSUP Family Medicine,COSUP Family Medicine
6893,Masakhane Clinic (Greenbushes),2,Other,420,General,Clinic,418,Eqigate referral form,Eqigate referral form
5886,Nkanga Clinic,2,Other,420,General,Clinic,419,Plastic Surgery,Plastic Surgery
7200,Resilient Healthcare Inc (Dr. Anthea Bossert),2,Other,420,General,General Practice,420,General,
5081,Dr G Galloway’s Rooms,2,Other,420,General,General Practice,,,
7203,Qamata Clinic,2,Other,420,General,Clinic,,,
5948,Dr Faiez van Der Schyff (Plumcare Medicentre),2,Other,420,General,General Practice,,,
7199,Torga Optical Helderberg Centre,2,Other,17,Optometry,Specialist Department,,,
6051,Weck & Danner Optometrists,2,Other,17,Optometry,Specialist Department,,,
5953,Tambo Memorial Occupational Therapy HANDS,275,Occupational Therapy Hands,124,Occupational Therapy,Specialist Department,,,
7201,Dr Zebeth de Kock,2,Other,420,General,General Practice,,,
7202,Zwelakhe Dalasile CHC,2,Other,420,General,CHC,,,
5963,Olivier A H & Partner,2,Other,420,General,General Practice,,,
6038,Metro East Education District,2,Other,420,General,Non-medical practice,,,
5966,Allan Wise Optometrist,2,Other,17,Optometry,Specialist Department,,,
6052,Dr BM Mooi,2,Other,420,General,General Practice,,,
5970,SADFM Durbanville,2,Other,420,General,General practice,,,
6020,Tygerberg Cardiothoracic Surgery,2,Other,4,Cardiology,Specialist Department,,,
7207,Dr L Da Costa Family Dentists SALT RIVER,2,Other,420,General,General Practice,,,
5976,Dr IG Domingo,2,Other,420,General,General Practice,,,
7209,Dr Jasper van Zyl,2,Other,420,General,General Practice,,,
6025,Dr T.R.van der Merwe,2,Other,420,General,General Practice,,,
6053,Sivuyile Residential Care Centre,2,Other,420,General,Medical Centre,,,
6048,Dr DG Dennis,2,Other,420,General,General Practice,,,
6062,Vula - Dermatology Study,13,Dermatology,13,Dermatology,Vula,,,
7210,Betterhealth Clinic,2,Other,420,General,Clinic,,,
7211,Dr Gustave Haai,2,Other,420,General,General Practice,,,
6054,Madadeni Pharmacy,2,Other,420,General,Pharmacy,,,
6049,Dr Sonia Hattingh,2,Other,420,General,General Practice,,,
7206,Robert Mangaliso Sobukwe Hospital Department of Clinical & Radiation Oncology,19,Oncology emergencies,19,Oncology,Specialist Department,,,
6116,"Dr Ritesh Sewkumar Chathury (Shop 13, Springfield Park Shopping Centre, 17 Palmfield Rd, Umgeni Business Park, Durban, 4001)",2,Other,420,General,General Practice,,,
6044,Dora Nginza Internal Medicine MOPD REFERRALS (Mon-Sun 08:00 to 18:00 ONLY),21,Internal Medicine,21,Internal Medicine,Specialist Department,,,
6103,"Dr TV Pillay & Partners ( 395 Palmview Dr, Phoenix, Durban, 4068)",2,Other,420,General,General Practice,,,
6058,Dr. Jacques Theron,2,Other,420,General,General Practice,,,
6117,"Dr Prakash Jugnundan (283 Quarry Road, Springfield, 4091)",2,Other,420,General,General Practice,,,
6110,"Dr Colinthiren Govender (7/23 Moodie Street, New Germany, 3610)",2,Other,420,General,General Practice,,,
6112,"Dr Sifiso Hopewell Makhanya (40 Dorothy Nyembe Street, Durban, 4001)",2,Other,420,General,General Practice,,,
6115,"Dr Navin Harinarain (Suite 10 Crompton Medical Centre, 110a Crompton Street, New Germany, 3610)",2,Other,420,General,General Practice,,,
6127,"Dr Nothando Mbatha (Inanda Main Road, 0310)",2,Other,420,General,General Practice,,,
4158,Clairwood Covid-19 unit (Referral for admission),270,Clairwood Covid-19 unit referral for admission,169,Infectious Disease,Specialist Department,,,
4910,Torga Optical Plumstead,2,Other,17,Optometry,Specialist Department,,,
5855,Mvenyane Clinic,2,Other,420,General,Clinic,,,
7204,Carel du Toit,2,Other,420,General,Medical Centre,,,
5082,Madwaleni Obstetrics,235,Eastern Cape O & G,27,Obstetrics/Gynaecology,Specialist Department,,,
5949,GP Care Hermanus,2,Other,420,General,General Practice,,,
